Size, Time(ns)
10,3626
20,3626
30,3626
40,3626
110,92453
120,92453
130,92453
140,92453
210,1324463
220,1324463
230,1324463
240,1324463
310,959266
320,959266
330,959266
340,959266
410,1774852
420,1774852
430,1774852
440,1774852
510,5728628
520,5728628
530,5728628
540,5728628
610,780316
620,780316
630,780316
640,780316
710,329718
720,329718
730,329718
740,329718
810,163778
820,163778
830,163778
840,163778
910,252601
920,252601
930,252601
940,252601
1010,325188
1020,325188
1030,325188
1040,325188
1110,407193
1120,407193
1130,407193
1140,407193
1210,823269
1220,823269
1230,823269
1240,823269
1310,447060
1320,447060
1330,447060
1340,447060
1410,557696
1420,557696
1430,557696
1440,557696
1510,2710162
1520,2710162
1530,2710162
1540,2710162
1610,774499
1620,774499
1630,774499
1640,774499
1710,1392356
1720,1392356
1730,1392356
1740,1392356
1810,908414
1820,908414
1830,908414
1840,908414
1910,1334653
1920,1334653
1930,1334653
1940,1334653
2010,1073293
2020,1073293
2030,1073293
2040,1073293
2110,1400768
2120,1400768
2130,1400768
2140,1400768
2210,1423692
2220,1423692
2230,1423692
2240,1423692
2310,900464
2320,900464
2330,900464
2340,900464
2410,2029871
2420,2029871
2430,2029871
2440,2029871
2510,1424000
2520,1424000
2530,1424000
2540,1424000
2610,2221233
2620,2221233
2630,2221233
2640,2221233
2710,1943632
2720,1943632
2730,1943632
2740,1943632
2810,11538985
2820,11538985
2830,11538985
2840,11538985
2910,2275331
2920,2275331
2930,2275331
2940,2275331
3010,3062070
3020,3062070
3030,3062070
3040,3062070
3110,5385244
3120,5385244
3130,5385244
3140,5385244
3210,5271317
3220,5271317
3230,5271317
3240,5271317
3310,3153282
3320,3153282
3330,3153282
3340,3153282
3410,3086360
3420,3086360
3430,3086360
3440,3086360
3510,3614400
3520,3614400
3530,3614400
3540,3614400
3610,3768781
3620,3768781
3630,3768781
3640,3768781
3710,4683849
3720,4683849
3730,4683849
3740,4683849
3810,2483511
3820,2483511
3830,2483511
3840,2483511
3910,4998954
3920,4998954
3930,4998954
3940,4998954
4010,4238383
4020,4238383
4030,4238383
4040,4238383
4110,2699920
4120,2699920
4130,2699920
4140,2699920
4210,5707159
4220,5707159
4230,5707159
4240,5707159
4310,8702041
4320,8702041
4330,8702041
4340,8702041
4410,6812579
4420,6812579
4430,6812579
4440,6812579
4510,4703860
4520,4703860
4530,4703860
4540,4703860
4610,5841649
4620,5841649
4630,5841649
4640,5841649
4710,10943015
4720,10943015
4730,10943015
4740,10943015
4810,9046511
4820,9046511
4830,9046511
4840,9046511
4910,8247350
4920,8247350
4930,8247350
4940,8247350
5010,7022118
5020,7022118
5030,7022118
5040,7022118
5110,6094785
5120,6094785
5130,6094785
5140,6094785
5210,5362343
5220,5362343
5230,5362343
5240,5362343
5310,21355532
5320,21355532
5330,21355532
5340,21355532
5410,13537564
5420,13537564
5430,13537564
5440,13537564
5510,13458124
5520,13458124
5530,13458124
5540,13458124
5610,9446788
5620,9446788
5630,9446788
5640,9446788
5710,10070777
5720,10070777
5730,10070777
5740,10070777
5810,13633121
5820,13633121
5830,13633121
5840,13633121
5910,44488704
5920,44488704
5930,44488704
5940,44488704
6010,27356354
6020,27356354
6030,27356354
6040,27356354
6110,11716485
6120,11716485
6130,11716485
6140,11716485
6210,15569378
6220,15569378
6230,15569378
6240,15569378
6310,8201379
6320,8201379
6330,8201379
6340,8201379
6410,18432328
6420,18432328
6430,18432328
6440,18432328
6510,26282921
6520,26282921
6530,26282921
6540,26282921
6610,20765081
6620,20765081
6630,20765081
6640,20765081
6710,22261919
6720,22261919
6730,22261919
6740,22261919
6810,7907325
6820,7907325
6830,7907325
6840,7907325
6910,14030288
6920,14030288
6930,14030288
6940,14030288
7010,16362306
7020,16362306
7030,16362306
7040,16362306
7110,14610870
7120,14610870
7130,14610870
7140,14610870
7210,11139676
7220,11139676
7230,11139676
7240,11139676
7310,17574284
7320,17574284
7330,17574284
7340,17574284
7410,10438537
7420,10438537
7430,10438537
7440,10438537
7510,12753035
7520,12753035
7530,12753035
7540,12753035
7610,14463320
7620,14463320
7630,14463320
7640,14463320
7710,14880470
7720,14880470
7730,14880470
7740,14880470
7810,20923199
7820,20923199
7830,20923199
7840,20923199
7910,19257135
7920,19257135
7930,19257135
7940,19257135
8010,15109664
8020,15109664
8030,15109664
8040,15109664
8110,11217542
8120,11217542
8130,11217542
8140,11217542
8210,11898940
8220,11898940
8230,11898940
8240,11898940
8310,12792957
8320,12792957
8330,12792957
8340,12792957
8410,19719660
8420,19719660
8430,19719660
8440,19719660
8510,45298249
8520,45298249
8530,45298249
8540,45298249
8610,28177318
8620,28177318
8630,28177318
8640,28177318
8710,25260532
8720,25260532
8730,25260532
8740,25260532
8810,27487598
8820,27487598
8830,27487598
8840,27487598
8910,20142545
8920,20142545
8930,20142545
8940,20142545
9010,32249524
9020,32249524
9030,32249524
9040,32249524
9110,27327164
9120,27327164
9130,27327164
9140,27327164
9210,16568422
9220,16568422
9230,16568422
9240,16568422
9310,16971916
9320,16971916
9330,16971916
9340,16971916
9410,17247601
9420,17247601
9430,17247601
9440,17247601
9510,22558783
9520,22558783
9530,22558783
9540,22558783
9610,74617673
9620,74617673
9630,74617673
9640,74617673
9710,19763920
9720,19763920
9730,19763920
9740,19763920
9810,21406687
9820,21406687
9830,21406687
9840,21406687
9910,27123812
9920,27123812
9930,27123812
9940,27123812
10010,27143054
10020,27143054
10030,27143054
10040,27143054
