Size, Time(ns)
10,4276
20,4276
30,4276
40,4276
110,20843
120,20843
130,20843
140,20843
210,52443
220,52443
230,52443
240,52443
310,53262
320,53262
330,53262
340,53262
410,69407
420,69407
430,69407
440,69407
510,80889
520,80889
530,80889
540,80889
610,119871
620,119871
630,119871
640,119871
710,127661
720,127661
730,127661
740,127661
810,2800003
820,2800003
830,2800003
840,2800003
910,177247
920,177247
930,177247
940,177247
1010,195530
1020,195530
1030,195530
1040,195530
1110,139623
1120,139623
1130,139623
1140,139623
1210,161753
1220,161753
1230,161753
1240,161753
1310,251334
1320,251334
1330,251334
1340,251334
1410,178181
1420,178181
1430,178181
1440,178181
1510,399436
1520,399436
1530,399436
1540,399436
1610,321245
1620,321245
1630,321245
1640,321245
1710,324874
1720,324874
1730,324874
1740,324874
1810,356675
1820,356675
1830,356675
1840,356675
1910,386402
1920,386402
1930,386402
1940,386402
2010,269189
2020,269189
2030,269189
2040,269189
2110,409851
2120,409851
2130,409851
2140,409851
2210,457670
2220,457670
2230,457670
2240,457670
2310,310319
2320,310319
2330,310319
2340,310319
2410,312231
2420,312231
2430,312231
2440,312231
2510,412596
2520,412596
2530,412596
2540,412596
2610,501693
2620,501693
2630,501693
2640,501693
2710,397917
2720,397917
2730,397917
2740,397917
2810,494183
2820,494183
2830,494183
2840,494183
2910,481559
2920,481559
2930,481559
2940,481559
3010,619179
3020,619179
3030,619179
3040,619179
3110,571245
3120,571245
3130,571245
3140,571245
3210,580365
3220,580365
3230,580365
3240,580365
3310,605974
3320,605974
3330,605974
3340,605974
3410,702431
3420,702431
3430,702431
3440,702431
3510,481798
3520,481798
3530,481798
3540,481798
3610,743946
3620,743946
3630,743946
3640,743946
3710,920190
3720,920190
3730,920190
3740,920190
3810,927929
3820,927929
3830,927929
3840,927929
3910,1862657
3920,1862657
3930,1862657
3940,1862657
4010,1059617
4020,1059617
4030,1059617
4040,1059617
4110,1206632
4120,1206632
4130,1206632
4140,1206632
4210,802559
4220,802559
4230,802559
4240,802559
4310,966516
4320,966516
4330,966516
4340,966516
4410,664386
4420,664386
4430,664386
4440,664386
4510,624419
4520,624419
4530,624419
4540,624419
4610,820211
4620,820211
4630,820211
4640,820211
4710,1054038
4720,1054038
4730,1054038
4740,1054038
4810,1279978
4820,1279978
4830,1279978
4840,1279978
4910,5156623
4920,5156623
4930,5156623
4940,5156623
5010,6379288
5020,6379288
5030,6379288
5040,6379288
5110,731686
5120,731686
5130,731686
5140,731686
5210,1483735
5220,1483735
5230,1483735
5240,1483735
5310,795280
5320,795280
5330,795280
5340,795280
5410,1274180
5420,1274180
5430,1274180
5440,1274180
5510,1252339
5520,1252339
5530,1252339
5540,1252339
5610,1240873
5620,1240873
5630,1240873
5640,1240873
5710,1302850
5720,1302850
5730,1302850
5740,1302850
5810,1234309
5820,1234309
5830,1234309
5840,1234309
5910,1301595
5920,1301595
5930,1301595
5940,1301595
6010,1117965
6020,1117965
6030,1117965
6040,1117965
6110,1376165
6120,1376165
6130,1376165
6140,1376165
6210,1287685
6220,1287685
6230,1287685
6240,1287685
6310,1458239
6320,1458239
6330,1458239
6340,1458239
6410,1747330
6420,1747330
6430,1747330
6440,1747330
6510,1417934
6520,1417934
6530,1417934
6540,1417934
6610,1290096
6620,1290096
6630,1290096
6640,1290096
6710,3370745
6720,3370745
6730,3370745
6740,3370745
6810,6861005
6820,6861005
6830,6861005
6840,6861005
6910,1408320
6920,1408320
6930,1408320
6940,1408320
7010,2467987
7020,2467987
7030,2467987
7040,2467987
7110,1329001
7120,1329001
7130,1329001
7140,1329001
7210,1556299
7220,1556299
7230,1556299
7240,1556299
7310,1537982
7320,1537982
7330,1537982
7340,1537982
7410,1678295
7420,1678295
7430,1678295
7440,1678295
7510,1919021
7520,1919021
7530,1919021
7540,1919021
7610,2973408
7620,2973408
7630,2973408
7640,2973408
7710,3964547
7720,3964547
7730,3964547
7740,3964547
7810,2367016
7820,2367016
7830,2367016
7840,2367016
7910,2421884
7920,2421884
7930,2421884
7940,2421884
8010,1686453
8020,1686453
8030,1686453
8040,1686453
8110,1603390
8120,1603390
8130,1603390
8140,1603390
8210,1643458
8220,1643458
8230,1643458
8240,1643458
8310,1894860
8320,1894860
8330,1894860
8340,1894860
8410,1791349
8420,1791349
8430,1791349
8440,1791349
8510,1826870
8520,1826870
8530,1826870
8540,1826870
8610,2530598
8620,2530598
8630,2530598
8640,2530598
8710,1774959
8720,1774959
8730,1774959
8740,1774959
8810,2158864
8820,2158864
8830,2158864
8840,2158864
8910,1297729
8920,1297729
8930,1297729
8940,1297729
9010,2103278
9020,2103278
9030,2103278
9040,2103278
9110,5966636
9120,5966636
9130,5966636
9140,5966636
9210,5112233
9220,5112233
9230,5112233
9240,5112233
9310,1593684
9320,1593684
9330,1593684
9340,1593684
9410,1411370
9420,1411370
9430,1411370
9440,1411370
9510,1551228
9520,1551228
9530,1551228
9540,1551228
9610,1408735
9620,1408735
9630,1408735
9640,1408735
9710,2937530
9720,2937530
9730,2937530
9740,2937530
9810,1603382
9820,1603382
9830,1603382
9840,1603382
9910,4023988
9920,4023988
9930,4023988
9940,4023988
10010,2773961
10020,2773961
10030,2773961
10040,2773961
