Size, Time(ns)
10,11530
20,11530
30,11530
40,11530
110,91178
120,91178
130,91178
140,91178
210,206434
220,206434
230,206434
240,206434
310,138038
320,138038
330,138038
340,138038
410,56219
420,56219
430,56219
440,56219
510,86478
520,86478
530,86478
540,86478
610,140673
620,140673
630,140673
640,140673
710,101400
720,101400
730,101400
740,101400
810,68777
820,68777
830,68777
840,68777
910,72436
920,72436
930,72436
940,72436
1010,109373
1020,109373
1030,109373
1040,109373
1110,266785
1120,266785
1130,266785
1140,266785
1210,128120
1220,128120
1230,128120
1240,128120
1310,120748
1320,120748
1330,120748
1340,120748
1410,95786
1420,95786
1430,95786
1440,95786
1510,100830
1520,100830
1530,100830
1540,100830
1610,143853
1620,143853
1630,143853
1640,143853
1710,152150
1720,152150
1730,152150
1740,152150
1810,124918
1820,124918
1830,124918
1840,124918
1910,154309
1920,154309
1930,154309
1940,154309
2010,138796
2020,138796
2030,138796
2040,138796
2110,143818
2120,143818
2130,143818
2140,143818
2210,149417
2220,149417
2230,149417
2240,149417
2310,158474
2320,158474
2330,158474
2340,158474
2410,214658
2420,214658
2430,214658
2440,214658
2510,175076
2520,175076
2530,175076
2540,175076
2610,281935
2620,281935
2630,281935
2640,281935
2710,235324
2720,235324
2730,235324
2740,235324
2810,312324
2820,312324
2830,312324
2840,312324
2910,268248
2920,268248
2930,268248
2940,268248
3010,213843
3020,213843
3030,213843
3040,213843
3110,272544
3120,272544
3130,272544
3140,272544
3210,280724
3220,280724
3230,280724
3240,280724
3310,306963
3320,306963
3330,306963
3340,306963
3410,757382
3420,757382
3430,757382
3440,757382
3510,489510
3520,489510
3530,489510
3540,489510
3610,484632
3620,484632
3630,484632
3640,484632
3710,275231
3720,275231
3730,275231
3740,275231
3810,273075
3820,273075
3830,273075
3840,273075
3910,360398
3920,360398
3930,360398
3940,360398
4010,370646
4020,370646
4030,370646
4040,370646
4110,739910
4120,739910
4130,739910
4140,739910
4210,347897
4220,347897
4230,347897
4240,347897
4310,336635
4320,336635
4330,336635
4340,336635
4410,352758
4420,352758
4430,352758
4440,352758
4510,422315
4520,422315
4530,422315
4540,422315
4610,615585
4620,615585
4630,615585
4640,615585
4710,654470
4720,654470
4730,654470
4740,654470
4810,1065759
4820,1065759
4830,1065759
4840,1065759
4910,777728
4920,777728
4930,777728
4940,777728
5010,802248
5020,802248
5030,802248
5040,802248
5110,719400
5120,719400
5130,719400
5140,719400
5210,974575
5220,974575
5230,974575
5240,974575
5310,816130
5320,816130
5330,816130
5340,816130
5410,640722
5420,640722
5430,640722
5440,640722
5510,627775
5520,627775
5530,627775
5540,627775
5610,782132
5620,782132
5630,782132
5640,782132
5710,1015237
5720,1015237
5730,1015237
5740,1015237
5810,445014
5820,445014
5830,445014
5840,445014
5910,540885
5920,540885
5930,540885
5940,540885
6010,609972
6020,609972
6030,609972
6040,609972
6110,600007
6120,600007
6130,600007
6140,600007
6210,746512
6220,746512
6230,746512
6240,746512
6310,749204
6320,749204
6330,749204
6340,749204
6410,488123
6420,488123
6430,488123
6440,488123
6510,493784
6520,493784
6530,493784
6540,493784
6610,765858
6620,765858
6630,765858
6640,765858
6710,879772
6720,879772
6730,879772
6740,879772
6810,800408
6820,800408
6830,800408
6840,800408
6910,1167431
6920,1167431
6930,1167431
6940,1167431
7010,665972
7020,665972
7030,665972
7040,665972
7110,1022365
7120,1022365
7130,1022365
7140,1022365
7210,1065180
7220,1065180
7230,1065180
7240,1065180
7310,555262
7320,555262
7330,555262
7340,555262
7410,629279
7420,629279
7430,629279
7440,629279
7510,612012
7520,612012
7530,612012
7540,612012
7610,719166
7620,719166
7630,719166
7640,719166
7710,661344
7720,661344
7730,661344
7740,661344
7810,776761
7820,776761
7830,776761
7840,776761
7910,1137937
7920,1137937
7930,1137937
7940,1137937
8010,933148
8020,933148
8030,933148
8040,933148
8110,603595
8120,603595
8130,603595
8140,603595
8210,809131
8220,809131
8230,809131
8240,809131
8310,970255
8320,970255
8330,970255
8340,970255
8410,1224250
8420,1224250
8430,1224250
8440,1224250
8510,984393
8520,984393
8530,984393
8540,984393
8610,952965
8620,952965
8630,952965
8640,952965
8710,680523
8720,680523
8730,680523
8740,680523
8810,876558
8820,876558
8830,876558
8840,876558
8910,792196
8920,792196
8930,792196
8940,792196
9010,817882
9020,817882
9030,817882
9040,817882
9110,668949
9120,668949
9130,668949
9140,668949
9210,1189603
9220,1189603
9230,1189603
9240,1189603
9310,1085503
9320,1085503
9330,1085503
9340,1085503
9410,1119495
9420,1119495
9430,1119495
9440,1119495
9510,898160
9520,898160
9530,898160
9540,898160
9610,751457
9620,751457
9630,751457
9640,751457
9710,913483
9720,913483
9730,913483
9740,913483
9810,1155940
9820,1155940
9830,1155940
9840,1155940
9910,1158942
9920,1158942
9930,1158942
9940,1158942
10010,978690
10020,978690
10030,978690
10040,978690
